option_symbol,ask1,bid1,mark_price
ETH-221230-1600-C,61,56.8,58.8
ETH-221230-1600-P,391.4,384.1,387.7
ETH-221230-1900-C,27.9,24.5,26.1
ETH-221230-1900-P,750.5,557,672.6
ETH-221230-2000-C,21.7,18.6,20.1
ETH-221230-2000-P,992.8,466.5,785
ETH-221230-2400-C,8.4,7.7,8
ETH-221230-2400-P,1273,115,1152
ETH-221230-2800-C,3.6,3.4,3.4
ETH-221230-2800-P,1727,1276.5,1535.9
ETH-221230-3500-C,1.4,0.9,1.1
ETH-221230-3500-P,2529.2,223,2224.8
ETH-221230-4500-C,0.5,0.3,0.3
ETH-221230-4500-P,3687.9,2725.9,3220.8
ETH-221230-600-C,749.4,570.2,688.7
ETH-221230-600-P,12.2,10.9,11.5
ETH-221230-800-C,544.2,419,502.6
ETH-221230-800-P,27.3,26.2,26.7
